impl,edge,kernel,launches_captured,scale,time_s,dram_tb,l2_tb,l1_tb,shared_tb,warp_inst_G,op_fadd_G,op_fmul_G,op_ffma_G,op_hadd_G,op_hmul_G,op_hfma_G,op_fp16_G,op_fp32_G,op_conversion_G,op_integer_G,op_bit_G,op_control_G,op_memory_G,op_inter_thread_communication_G,op_misc_G,flop32_G,flop16_G,ai_fp32_flop_per_dram_byte,ai_all_fp_flop_per_dram_byte,ii_warp_inst_per_dram_sector,ii_warp_inst_per_l2_sector,ii_warp_inst_per_l1_sector,warp_gips_achieved,dram_gbps_achieved,dram_pct_peak_mean,sm_pct_peak_mean,pipe_alu_pct,pipe_fma_pct,pipe_fmaheavy_pct,pipe_fmalite_pct,pipe_lsu_pct,pipe_xu_pct,pipe_cbu_pct
sbsom-bin,128,bmu_spmm_kernel,1,1.0,10.287,2.8134,6.9299,6.9457,0.4699,4280.6954,5727.147,0.0538,0.0538,3412.0372,0.0,0.0,3412.0372,6667.7031,0.0269,39001.2716,13719.9456,3161.1418,8584.223,172.2428,2141.9849,5727.3085,3412.0372,2.0357,3.2485,48.6888,19.7669,19.722,416.1273,273.4934,27.82,32.25,22.76,16.51,15.14,17.89,17.58,0.0,0.38
sbsom-bin,128,norm_fm_kernel,2,1.0,0.0023,0.002,0.002,0.002,0.0,0.195,0.0,0.0,1.0081,1.0081,0.0,0.0,1.0081,1.0082,0.0,3.0256,0.0001,0.063,1.0082,0.0,0.0001,2.0163,1.0081,0.9971,1.4957,3.0859,3.0938,3.0946,84.1327,872.4397,88.735,8.46,11.335,5.13,5.945,4.31,17.27,0.0,0.0
sbsom-bin,256,bmu_spmm_kernel,1,1.0,42.3598,18.9679,27.7258,27.7486,1.7494,16403.95,22908.3458,0.0538,0.0538,13648.1488,0.0,0.0,13648.1488,26485.008,0.0269,154924.8236,54623.0369,12268.3173,34277.8555,172.2428,8246.9381,22908.5073,13648.1488,1.2077,1.9273,27.6744,18.9328,18.9172,387.2526,447.7812,45.54,30.01,21.34,15.75,14.12,17.39,16.02,0.0,0.28
sbsom-bin,256,norm_fm_kernel,2,1.0,0.0135,0.0081,0.0081,0.0081,0.0,0.78,0.0,0.0,4.0326,4.0326,0.0,0.0,4.0326,4.0327,0.0,12.1025,0.0004,0.2522,4.0327,0.0,0.0003,8.0651,4.0326,0.9993,1.4989,3.0925,3.0943,3.0946,57.5888,595.9082,60.61,5.77,3.895,1.76,2.04,1.48,5.93,0.0,0.0
ssom-feat,128,argmax_kernel,1643,1.0,4.5077,1.1359,1.1629,14.5525,0.0,244.6354,881.9638,0.0538,0.0538,440.9415,0.0,0.0,440.9415,2204.4075,0.0269,2865.9089,440.6704,110.343,882.0445,0.0,881.6801,882.1252,440.9415,0.7766,1.1648,6.8919,6.7319,0.5379,54.2709,251.9856,25.6293,4.2112,7.7505,3.6333,5.3326,1.9339,7.7511,0.0,0.0
ssom-feat,128,csrmm_alg2_kernel,1643,1.0,3.8765,2.2009,8.848,12.4733,0.8155,1739.038,0.0,0.0,5529.0231,4940.4997,0.0,0.0,4940.4997,5736.8062,626.8218,22245.3928,1375.7295,9596.3774,5707.7069,2607.8061,306.4265,11058.0461,4940.4997,5.0244,7.2691,25.2849,6.2895,4.4615,448.6103,567.7517,57.7695,42.8601,24.5099,10.2629,14.0306,6.4948,42.9039,0.0,3.1713
ssom-feat,128,norms_kernel,1,1.0,0.0035,0.001,0.001,0.001,0.0,0.1123,0.0,0.0,0.0,0.5041,0.0,0.0,0.5041,0.0,0.5041,1.5128,0.0,0.0315,0.5041,0.0,0.0001,0.0,0.5041,0.0,0.4986,3.5532,3.5624,3.5632,31.6836,285.3426,29.02,44.1,2.59,1.47,2.94,0.0,5.52,0.0,0.0
ssom-feat,128,rebase_rowptr,1643,1.0,0.0032,0.0003,0.0005,0.0002,0.0,0.0152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1892,0.0,0.0273,0.0807,0.0,0.1358,0.0,0.0,0.0,0.0,1.6863,0.9872,2.0117,4.7351,89.8541,9.3536,0.6688,1.3032,0.4338,0.8678,0.0,3.4711,0.0,0.2173
ssom-feat,256,argmax_kernel,19,345.84,47.3401,3.5498,3.5587,58.2098,0.0,978.4579,3527.8595,0.0538,0.0538,1763.8894,0.0,0.0,1763.8894,8819.028,0.0269,11464.8531,1763.5588,441.08,3527.9403,0.0,3527.4959,3528.021,1763.8894,0.9939,1.4908,8.8204,8.7983,0.5379,20.6687,74.9852,7.6274,1.6,11.5542,5.42,7.95,2.88,11.5563,0.0,0.0
ssom-feat,256,csrmm_alg2_kernel,20,328.55,15.8198,10.0785,36.2083,48.7874,3.1885,6809.7914,0.0,0.0,21627.3035,19288.802,0.0,0.0,19288.802,22448.889,2488.0271,87136.1955,5388.5534,37615.8079,22324.4354,10191.645,1196.848,43254.607,19288.802,4.2918,6.2056,21.6215,6.0183,4.4666,430.4605,637.0841,64.8345,41.085,23.52,9.8435,13.46,6.2285,41.128,0.0,3.047
